"","Species","lon","lat","Presence"
"415","Araucaria_angustifolia",-49.800322,-28.346311,1
"416","Araucaria_angustifolia",-49.800106,-28.346842,1
"417","Araucaria_angustifolia",-49.799911,-28.347283,1
"418","Araucaria_angustifolia",-49.799344,-28.347683,1
"419","Araucaria_angustifolia",-49.798947,-28.348036,1
"420","Araucaria_angustifolia",-49.798478,-28.348156,1
"421","Araucaria_angustifolia",-49.666097,-28.326925,1
"422","Araucaria_angustifolia",-49.666108,-28.326456,1
"423","Araucaria_angustifolia",-49.666628,-28.326211,1
"424","Araucaria_angustifolia",-49.666992,-28.326564,1
"425","Araucaria_angustifolia",-49.669806,-28.329808,1
"426","Araucaria_angustifolia",-49.671147,-28.328547,1
"427","Araucaria_angustifolia",-49.676864,-28.334339,1
"428","Araucaria_angustifolia",-49.666611,-28.326994,1
"429","Araucaria_angustifolia",-49.676436,-28.334056,1
"430","Araucaria_angustifolia",-49.676058,-28.333789,1
"431","Araucaria_angustifolia",-49.67545,-28.334067,1
"432","Araucaria_angustifolia",-49.675064,-28.333506,1
"433","Araucaria_angustifolia",-49.674881,-28.332953,1
"434","Araucaria_angustifolia",-49.674225,-28.332789,1
"435","Araucaria_angustifolia",-49.673842,-28.332467,1
"436","Araucaria_angustifolia",-49.673469,-28.332131,1
"437","Araucaria_angustifolia",-49.67325,-28.331697,1
"438","Araucaria_angustifolia",-49.672886,-28.331325,1
"439","Araucaria_angustifolia",-49.672656,-28.330822,1
"440","Araucaria_angustifolia",-49.672175,-28.330853,1
"441","Araucaria_angustifolia",-49.671872,-28.330419,1
"442","Araucaria_angustifolia",-49.671497,-28.330697,1
"443","Araucaria_angustifolia",-49.671183,-28.330311,1
"444","Araucaria_angustifolia",-49.670664,-28.330114,1
"445","Araucaria_angustifolia",-49.670256,-28.329125,1
"446","Araucaria_angustifolia",-49.669719,-28.329278,1
"447","Araucaria_angustifolia",-49.668936,-28.32925,1
"448","Araucaria_angustifolia",-49.668867,-28.328653,1
"449","Araucaria_angustifolia",-49.667925,-28.328475,1
"450","Araucaria_angustifolia",-49.666986,-28.327242,1
"451","Araucaria_angustifolia",-49.995714,-28.822986,1
